heap;ordc;10;71;143;0.000000s
heap;ordc;100;1340;2474;0.000000s
heap;ordc;1000;20132;34604;0.000000s
heap;ordc;10000;269528;449666;0.002000s
heap;ordc;100000;3363302;5504297;0.018000s
heap;ordc;1000000;40227840;64865102;0.211000s
heap;ordi;10;63;116;0.000000s
heap;ordi;100;1206;2096;0.000000s
heap;ordi;1000;18490;30455;0.000000s
heap;ordi;10000;251732;405119;0.001000s
heap;ordi;100000;3176850;5042789;0.017000s
heap;ordi;1000000;38503438;60500360;0.206000s
heap;ale;10;67;131;0.000000s
heap;ale;100;1302;2339;0.000000s
heap;ale;1000;19466;33044;0.001000s
heap;ale;10000;261344;430271;0.002000s
heap;ale;100000;3330844;5425313;0.021000s
heap;ale;1000000;40214028;64813688;0.220000s
