bub;ordc;10;45;0;0
bub;ordc;100;4950;0;0
bub;ordc;1000;499500;0;0,001
bub;ordc;10000;49995000;0;0,16
bub;ordc;100000;704982704;0;16
bub;ordc;1000000;1783293664;0;1609,615
bub;ordi;10;45;135;0
bub;ordi;100;4950;14844;0
bub;ordi;1000;499500;1498491;0,003
bub;ordi;10000;49995000;149984142;0,353000s
bub;ordi;100000;704982704;14999841969;37,397
bub;ordi;1000000;1783293664;1,5E+12;4155,785
bub;ale;10;45;102;0
bub;ale;100;4950;6756;0
bub;ale;1000;499500;688845;0,001
bub;ale;10000;49995000;67565259;0,337
bub;ale;100000;704982704;2986850139;24,516
bub;ale;1000000;1783293664;24585879714;1595,03
