sel;ordc;10;45;36;0
sel;ordc;100;4950;396;0
sel;ordc;1000;499500;3996;0,001
sel;ordc;10000;49995000;39996;0,144
sel;ordc;100000;704982704;399996;14,462
sel;ordc;1000000;1783293664;3999996;1448,772
sel;ordi;10;45;61;0
sel;ordi;100;4950;2814;0
sel;ordi;1000;499500;252518;0
sel;ordi;10000;49995000;24069026;0,168
sel;ordi;100000;704982704;2387371868;17,423
sel;ordi;1000000;1783293664;2,47186E+11;1707,175
sel;ale;10;45;46;0
sel;ale;100;4950;610;0
sel;ale;1000;499500;7399;0,001
sel;ale;10000;49995000;75921;0,146
sel;ale;100000;704982704;472687;14,85
sel;ale;1000000;1783293664;4065943;1441,618
