ins;ordc;10;9;9;0
ins;ordc;100;99;99;0
ins;ordc;1000;999;999;0
ins;ordc;10000;9999;9999;0,001
ins;ordc;100000;99999;99999;0
ins;ordc;1000000;999999;999999;0,005
ins;ordi;10;54;54;0
ins;ordi;100;5047;5047;0
ins;ordi;1000;500496;500496;0,002
ins;ordi;10000;50004713;50004713;0,209
ins;ordi;100000;705080026;5000047322;21,246
ins;ordi;1000000;1784287886;5E+11;2129,28
ins;ale;10;33;33;0
ins;ale;100;2314;2314;0
ins;ale;1000;233804;233804;0,001
ins;ale;10000;22428551;22428551;0,096
ins;ale;100000;995692964;995692964;4,157
ins;ale;1000000;-433979734;8155954858;35,786
