merge;ordc;10;68;136;0
merge;ordc;100;1344;2688;0
merge;ordc;1000;19952;39904;0
merge;ordc;10000;267232;534464;0,004
merge;ordc;100000;3337856;6675712;0,029
merge;ordc;1000000;39902848;79805696;0,298
merge;ordi;10;68;136;0
merge;ordi;100;1344;2688;0
merge;ordi;1000;19952;39904;0
merge;ordi;10000;267232;534464;0,003
merge;ordi;100000;3337856;6675712;0,031
merge;ordi;1000000;39902848;79805696;0,305000s
merge;ale;10;68;136;0
merge;ale;100;1344;2688;0
merge;ale;1000;19952;39904;0,002
merge;ale;10000;267232;534464;0,004
merge;ale;100000;3337856;6675712;0,035
merge;ale;1000000;39902848;79805696;0,316
