bubo;ordc;10;10;1;0
bubo;ordc;100;100;1;0
bubo;ordc;1000;1000;1;0
bubo;ordc;10000;10000;1;0
bubo;ordc;100000;100000;1;0
bubo;ordc;1000000;1000000;1;0,003
bubo;ordi;10;55;190;0
bubo;ordi;100;5050;19892;0
bubo;ordi;1000;500500;1998988;0,003
bubo;ordi;10000;50005000;199988856;0,359
bubo;ordi;100000;705082704;19999889292;35,116
bubo;ordi;1000000;1784293664;2E+12;3926,635
bubo;ale;10;52;92;0
bubo;ale;100;5044;8813;0
bubo;ale;1000;499939;922667;0,002
bubo;ale;10000;49988890;90718877;0,348
bubo;ale;100000;704901803;3989291767;28,287
bubo;ale;1000000;921851871;32538004287;1682,571
